name
Tu Jaane Na
Doorie
Tere Liye
Dekhte Dekhte
Tera Hone Laga Hoon
Fashion From Fashion
Morni Banke From Badhaai Ho
High Rated Gabru 52 Non Stop HitsRemix By Mandy BirgiBirgi Veerz
Punjabi Party Mashup
Outfit
Tere Te
Kuchh Kehta Hai Ye Savan  From Mera Gaon Mera Desh
Monsta Mashup 2019 by DJ Notorious and Lijo George
Gulabi Ankhen  From The Train
Janam Janam Ka Saath Hai  From Bheegi Palken
Tujhe Jeevan Ki Dor Se
Mehbooba
  Russian Roulette
Dumb Dumb
Red Flavor
Bad Boy
Psycho
PeekABoo
White Tee
White Tee  Alternate Bass Boosted Version
Never Satisfied
Cabin Fever
Cat Girls Are Ruining My Life
Miss YOU
